Key,Next_Key,Insert,StartScript,MiddleScript,EndScript,Question,Actor,en_us,en_gb,pt_br,es,it,fr,de,pl,ru,ja,ko,zh,Actor_en_us,Actor_en_gb,Actor_pt_br,Actor_es,Actor_it,Actor_fr,Actor_de,Actor_pl,Actor_ru,Actor_ja,Actor_ko,Actor_zh
key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
key_0,key_1,,,,,,John Peter,This is the first test of the <b>Dialogue System</b> by <#00bf2d>Corylus Dev</color>,This is the first test of the <b>Dialogue System</b> by <#00bf2d>Corylus Dev</color>,Este é o primeiro teste do <b>Sistema de Diálogo</b> de <#00bf2d>Corylus Dev</color>,Esta es la primera prueba del <b>Sistema de Diálogo</b> realizada por <#00bf2d>Corylus Dev</color>,Questo è il primo test del <b>Sistema di dialogo</b> di <#00bf2d>Corylus Dev</color>,Il s'agit du premier test du <b>Système de dialogue</b> par <#00bf2d>Corylus Dev</color>,Dies ist der erste Test des <b>Dialogsystems</b> durch <#00bf2d>Corylus Dev</color>,To pierwszy test <b>Systemu Dialogu</b> autorstwa <#00bf2d>Corylus Dev</color>,"Это первое испытание <b>Диалоговой системы</b>, проведенное <#00bf2d>Corylus Dev</color>.",これは<#00bf2d>Corylus Dev</color>による<b>対話システム</b>の最初のテストです。,이것은 <#00bf2d>Corylus Dev</color>가 수행한 <b>대화 시스템</b>의 첫 번째 테스트입니다.,这是<#00bf2d>Corylus Dev</color>对<b>对话系统</b>的第一次测试,John Peter,John Peter,João Pedro,Juan Pedro,Giovanni Pietro,Jean Pierre,Johann Peter,Jan Piotr,Джон Питер,ジョン・ピーター,존 피터,约翰·彼得
key_1,,,StartScript(0),MiddleScript(0) | MiddleScript(1) | MiddleScript(2),EndScript(0),,{Player},"It... {0}looks like... {2}it's working, {1}<font=NotoSans Underlay SDF>John Peter!</font>","It... {0}looks like... {2}it's working, {1}<font=NotoSans Underlay SDF>John Peter!</font>","Parece... {0}parece... {2}está funcionando, {1}<font=NotoSans Underlay SDF>John Peter!</font>","Esto... {0}parece... {2}está funcionando, {1}<font=NotoSans Underlay SDF>¡John Peter!</font>","Sembra che... {0}sembra... {2}funzioni, {1}<font=NotoSans Underlay SDF>John Peter!</font>","Ça... {0}on dirait... {2}ça marche, {1}<font=NotoSans Underlay SDF>John Peter !</font>","Es... {0}sieht so aus, als ob... {2}es funktioniert, {1}<font=NotoSans Underlay SDF>John Peter!</font>","To... {0}wygląda na to, że... {2}działa, {1<font=NotoSans Underlay SDF>John Peter!</font>","Это... {0}похоже... {2}работает, {1}<font=NotoSans Underlay SDF>Джон Питер!</font>",それは... {0}どうやら... {2}うまくいきました、{1}<font=NotoSans Underlay SDF>ジョン ピーター!</font>,"이건... {0}보이는데... {2}작동하는군요, {1}<font=NotoSans Underlay SDF>John Peter!</font>",它...{0}看起来...{2}它正在工作，{1}<font=NotoSans Underlay SDF>John Peter！</font>,{Player},{Player},{Player},{Player},{Player},{Player},{Player},{Player},{Player},{Player},{Player},{Player}
Player_0,,PlayerName,,MiddleScriptAmerico,,,Soldier,"I used to be an adventurer like you, <font=NotoSans Underlay SDF><b><#d91616>{PlayerName}</color></b></font>.{0} Then I took an arrow in the knee.","I used to be an adventurer like you, <font=NotoSans Underlay SDF><b><#d91616>{PlayerName}</color></b></font>.{0} Then I took an arrow in the knee.","Eu era um aventureiro como você, <font=NotoSans Underlay SDF><b><#d91616>{PlayerName}</color></b></font>.{0} Então levei uma flecha no joelho.","Yo solía ser un aventurero como tú, <font=NotoSans Underlay SDF><b><#d91616>{PlayerName}</color></b></font>.{0} Luego recibí una flecha en la rodilla.","Ero un avventuriero come te, <font=NotoSans Underlay SDF><b><#d91616>{PlayerName}</color></b></font>.{0} Poi mi sono preso una freccia nel ginocchio.","J'étais un aventurier comme vous, <font=NotoSans Underlay SDF><b><#d91616>{PlayerName}</color></b></font>.{0} Puis j'ai reçu une flèche dans le genou.","Früher war ich ein Abenteurer wie du, <font=NotoSans Underlay SDF><b><#d91616>{PlayerName}</color></b></font>.{0} Dann bekam ich einen Pfeil ins Knie.","Kiedyś byłem poszukiwaczem przygód tak jak ty, <font=NotoSans Underlay SDF><b><#d91616>{PlayerName</color></b></font>.{0} Potem dostałem strzałą w kolano.","Раньше я был искателем приключений, как и вы, <font=NotoSans Underlay SDF><b><#d91616>{PlayerName</color></b></font>.{0} Потом мне прострелили колено.",私も以前はあなたのような冒険家でした、<font=NotoSans Underlay SDF><b><#d91616>{PlayerName}</color></b></font>。{0}その時、膝に矢を受けてしまったのです。,"나도 당신과 같은 모험가였습니다, <font=NotoSans Underlay SDF><b><#d91616>{PlayerName}</color></b></font>.{0} 그러다가 무릎에 화살을 맞았습니다.",我曾经是像你一样的冒险家，<font=NotoSans Underlay SDF><b><#d91616>{PlayerName}</color></b></font>。{0}然后我的膝盖中了一箭。,Soldier,Soldier,Soldado,Soldado,Soldato,Soldat,Soldat,Żołnierz,Солдат,兵士,군인,士兵
Americo_0,Americo_1,,,,,,Edgar,"Americo, the lights are out, can...","Americo, the lights are out, can...","Américo, as luzes estão apagadas, pode...","Américo, las luces están apagadas, ¿puedes...?","Americo, le luci sono spente, puoi...","Americo, les lumières sont éteintes, je peux...","Americo, die Lichter sind aus, kann...","Americo, światła zgasły, możesz...","Америка, свет погас, можно...",アメリカ、電気が消えてるけど...,"아메리카노, 불이 꺼졌어, 할 수 있어...",美国，灯灭了，可以...,Edgar,Edgar,Edgar,Édgar,Edgar,Edgar,Edgar,Edgara,Эдгар,エドガー,에드가,埃德加
Americo_1,Americo_2,,,,,,Americo,<b>No shit!</b> I thought my eyes were closed.,<b>No shit!</b> I thought my eyes were closed.,<b>Não brinca!</b> Achei que meus olhos estavam fechados.,<b>¡No me jodas!</b> Pensé que tenía los ojos cerrados.,<b>Niente merda!</b> Pensavo di avere gli occhi chiusi.,<b>Pas de merde !</b> Je pensais que mes yeux étaient fermés.,"<b>Kein Scheiß!</b> Ich dachte, meine Augen wären geschlossen.","<b>No cholera!</b> Myślałem, że mam zamknięte oczy.","<b>Ни хрена!</b> Я думал, что мои глаза закрыты.",<b>とんでもない！</b> 目を閉じているのかと思った。,<b>젠장!</b> 눈을 감은 줄 알았어요.,<b>不该死！</b>我以为我的眼睛是闭着的。,Americo,Americo,Américo,América,Americo,Américo,Amerika,Ameryka,Америка,アメリカ,아메리카,美洲
Americo_2,Americo_3,,,,,,Edgar,...,...,...,...,...,...,...,...,...,...,...,...,Edgar,Edgar,Edgar,Édgar,Edgar,Edgar,Edgar,Edgara,Эдгар,エドガー,에드가,埃德加
Americo_3,Americo_4,,,,,,Americo,What do you want?,What do you want?,O que você quer?,¿Qué deseas?,Cosa vuoi?,Que veux-tu?,Was willst du?,Czego chcesz?,Что ты хочешь?,なんでしょう？,당신은 무엇을 원하세요?,你想要什么？,Americo,Americo,Américo,América,Americo,Américo,Amerika,Ameryka,Америка,アメリカ,아메리카,美洲
Americo_4,Americo_5,,,,,,Edgar,... Can you get me a <font=NotoSans Underlay Outline SDF><b><#ffdd47>flashlight</color></b></font>?,... Can you get me a <font=NotoSans Underlay Outline SDF><b><#ffdd47>flashlight</color></b></font>?,... Você pode me dar uma <font=NotoSans Underlay Outline SDF><b><#ffdd47>lanterna</color></b></font>?,... ¿Puedes conseguirme una <font=NotoSans Underlay Outline SDF><b><#ffdd47>linterna</color></b></font>?,... Puoi procurarmi una <font=NotoSans Underlay Outline SDF><b><#ffdd47>torcia</color></b></font>?,... Pouvez-vous m'offrir une <font=NotoSans Underlay Outline SDF><b><#ffdd47>lampe de poche</color></b></font> ?,... Können Sie mir eine <font=NotoSans Underlay Outline SDF><b><#ffdd47>Taschenlampe</color></b></font> besorgen?,... Czy możesz mi kupić <font=NotoSans Underlay Outline SDF><b><#ffdd47>latarkę</color></b></font>?,... Можете ли вы достать мне <font=NotoSans Underlay Outline SDF><b><#ffdd47>фонарик</color></b></font>?,...<font=NotoSans アンダーレイ アウトライン SDF><b><#ffdd47>懐中電灯</color></b></font>をもらえますか？,... <font=NotoSans Underlay Outline SDF><b><#ffdd47>손전등</color></b></font>을 가져다 주실 수 있나요?,...你能给我一个<font=NotoSans Underlay Outline SDF><b><#ffdd47>手电筒</color></b></font>吗？,Edgar,Edgar,Edgar,Édgar,Edgar,Edgar,Edgar,Edgara,Эдгар,エドガー,에드가,埃德加
Americo_5,,,,MiddleScriptAmerico,,,Americo,Maybe Stella's got one.{0} There's just junk in the storage downstairs.,Maybe Stella's got one.{0} There's just junk in the storage downstairs.,Talvez Stella tenha um.{0} Só há lixo no depósito lá embaixo.,Quizás Stella tenga uno.{0} Sólo hay basura en el almacén de abajo.,Forse Stella ne ha uno.{0} C'è solo spazzatura nel magazzino al piano di sotto.,Peut-être que Stella en a un.{0} Il n'y a que des déchets dans le débarras en bas.,Vielleicht hat Stella einen.{0} Im Lager unten liegt nur Müll.,Może Stella ma taki.{0} W magazynie na dole są tylko śmieci.,"Может быть, он есть у Стеллы.{0} В кладовке внизу просто мусор.",もしかしたらステラが持っているかもしれない。{0} 下の階の倉庫にはガラクタしかない。,아마도 스텔라가 가지고 있을 수도 있습니다.{0} 아래층 창고에는 쓰레기만 있을 뿐입니다.,也许斯特拉有一个。{0}楼下的储藏室里只有垃圾。,Americo,Americo,Américo,América,Americo,Américo,Amerika,Ameryka,Америка,アメリカ,아메리카,美洲
